Topic,Paper ID,Title,Authors,First Author,URL,Citations,Published
"Neural Compression","2002.03711","Learning End-to-End Lossy Image Compression: A Benchmark","Yueyu Hu, Wenhan Yang, Zhan Ma, Jiaying Liu","Yueyu Hu","http://arxiv.org/abs/2002.03711",191,"2020-02-10"
"Neural Compression","2307.12306","Tackling the Curse of Dimensionality with Physics-Informed Neural Networks","Zheyuan Hu, Khemraj Shukla, George Em Karniadakis, Kenji Kawaguchi","Zheyuan Hu","http://arxiv.org/abs/2307.12306",191,"2023-07-23"
"Neural Compression","2110.14513","Neural Analysis and Synthesis: Reconstructing Speech from Self-Supervised Representations","Hyeong-Seok Choi, Juheon Lee, Wansoo Kim, Jie Hwan Lee, Hoon Heo, Kyogu Lee","Hyeong-Seok Choi","http://arxiv.org/abs/2110.14513",184,"2021-10-27"
"Neural Compression","2111.06283","DropGNN: Random Dropouts Increase the Expressiveness of Graph Neural Networks","Pál András Papp, Karolis Martinkus, Lukas Faber, Roger Wattenhofer","Pál András Papp","http://arxiv.org/abs/2111.06283",167,"2021-11-11"
"Neural Compression","2005.05859","Neural Architecture Transfer","Zhichao Lu, Gautam Sreekumar, Erik Goodman, Wolfgang Banzhaf, Kalyanmoy Deb, Vishnu Naresh Boddeti","Zhichao Lu","http://arxiv.org/abs/2005.05859",165,"2020-05-12"
"Neural Compression","2008.05441","Stable Low-rank Tensor Decomposition for Compression of Convolutional Neural Network","Anh-Huy Phan, Konstantin Sobolev, Konstantin Sozykin, Dmitry Ermilov, Julia Gusak, Petr Tichavsky, Valeriy Glukhov, Ivan Oseledets, Andrzej Cichocki","Anh-Huy Phan","http://arxiv.org/abs/2008.05441",160,"2020-08-12"
"Neural Compression","2009.13055","Rotated Binary Neural Network","Mingbao Lin, Rongrong Ji, Zihan Xu, Baochang Zhang, Yan Wang, Yongjian Wu, Feiyue Huang, Chia-Wen Lin","Mingbao Lin","http://arxiv.org/abs/2009.13055",153,"2020-09-28"
"Neural Compression","2202.06533","An Introduction to Neural Data Compression","Yibo Yang, Stephan Mandt, Lucas Theis","Yibo Yang","http://arxiv.org/abs/2202.06533",149,"2022-02-14"
"Neural Compression","2010.14075","Neural Network Approximation: Three Hidden Layers Are Enough","Zuowei Shen, Haizhao Yang, Shijun Zhang","Zuowei Shen","http://arxiv.org/abs/2010.14075",144,"2020-10-25"
"Neural Compression","2006.04240","Improving Inference for Neural Image Compression","Yibo Yang, Robert Bamler, Stephan Mandt","Yibo Yang","http://arxiv.org/abs/2006.04240",141,"2020-06-07"
